epoch,train_acc,test_loss,test_acc,lr
1,12.08,2.2598083622847933,16.09,0.0001
2,31.524,1.7114026305041736,43.46,0.02008
3,48.22,1.1655507238605354,62.34,0.04006
4,58.476,1.0132149080686932,67.49,0.060039999999999996
5,64.726,0.9125590226318263,71.18,0.08002
6,67.64,1.0204511669617664,68.86,0.1
7,69.956,0.9966239257703854,69.06,0.09998826490092422
8,71.68,0.7368720634074151,77.31,0.09995306511219886
9,72.392,0.7173667731164377,78.12,0.09989441715674424
10,73.35,0.7592244480229631,77.08,0.09981234856414309
11,73.772,0.858834994744651,74.64,0.09970689785771801
12,74.202,0.6776063525224034,80.28,0.0995781145364485
13,74.282,0.818873557108867,75.09,0.09942605905173595
14,74.746,0.8527041771743871,73.57,0.09925080277902745
15,75.22,0.9112739532808715,71.74,0.09905242798431199
16,75.16,0.7715662597100946,76.34,0.09883102778550437
17,75.944,0.702722283103798,78.67,0.09858670610873531
18,76.122,0.7370850323121759,77.98,0.09831957763956815
19,76.448,0.7337678625613828,77.57,0.09802976776916496
20,76.444,0.7625041928472398,76.49,0.09771741253542743
21,76.894,0.6226201483720466,81.32,0.09738265855914015
22,77.014,0.9583875529373749,70.8,0.09702566297514623
23,77.038,0.862510078692738,73.56,0.09664659335858757
24,77.204,0.7570387192919285,76.84,0.09624562764624446
25,77.518,0.6585776896416387,80.05,0.0958229540530113
26,77.59,0.6666947327837159,79.61,0.09537877098354786
27,77.608,0.697416947235035,78.87,0.09491328693914723
28,77.972,0.567024749291094,82.88,0.09442672041986458
29,77.824,0.6424742925770676,80.53,0.09391929982195234
30,78.24,0.7502016825012013,77.49,0.09339126333065008
31,78.226,1.0167636893972565,69.47,0.09284285880837947
32,78.244,0.8816762830637679,73.13,0.0922743436783966
33,78.462,0.6047929631003851,82.23,0.09168598480395652
34,78.87,0.7725107654740538,77.44,0.09107805836304658
35,78.606,0.5738683644729324,83.24,0.09045084971874738
36,78.924,0.5442133372343039,84.69,0.0898046532852822
37,78.702,0.6217627710179437,81.78,0.0891397723898178
38,79.254,0.5316054217423065,84.79,0.08845651913008146
39,79.188,0.5877774723722965,82.45,0.08775521422786105
40,79.216,0.7221848768523976,78.28,0.08703618687845698
41,79.286,0.5533438754987113,83.99,0.08629977459615656
42,79.59,0.5306606138054328,84.84,0.08554632305580356
43,79.694,0.5484068703047836,83.78,0.08477618593053696
44,79.586,0.6720769246922264,80.39,0.08398972472577543
45,79.854,0.7230500228042844,78.04,0.08318730860952527
46,80.12,0.544017753269099,84.5,0.08236931423909143
47,80.392,0.5188859769060642,85.04,0.08153612558427314
48,80.066,0.5075499524798575,85.52,0.08068813374712692
49,80.358,0.6479795337477817,80.91,0.07982573677838176
50,80.406,0.7498678323588793,76.49,0.07894933949059248
51,80.524,0.6947975309589242,79.58,0.07805935326811915
52,80.64,0.7000002415874337,79.68,0.07715619587402167
53,80.754,0.6168743964237503,81.74,0.07624029125396006
54,80.884,0.6016141478019424,82.59,0.07531206933719273
55,80.79,0.5090909449360038,85.31,0.07437196583476599
56,80.79,0.5186823712119574,85.2,0.07342042203498954
57,81.098,0.5863363442918922,82.67,0.07245788459629399
58,81.45,0.5050026423568967,85.6,0.07148480533756761
59,81.384,0.5033911568454549,85.64,0.07050164102607083
60,81.712,0.48289640040337284,85.97,0.06950885316302775
61,81.86,0.6769789038579676,79.66,0.06850690776699574
62,81.908,0.5439749461940572,83.91,0.06749627515511444
63,81.656,0.6028499060039278,82.41,0.06647742972233704
64,81.984,0.4484230381778524,87.3,0.06545084971874739
65,82.226,0.5169457849822466,85.1,0.06441701702506755
66,82.142,0.6409529153304764,81.06,0.06337641692646107
67,82.426,0.4884819037552121,85.61,0.06232953788473812
68,82.514,0.5820110508158237,83.1,0.06127687130906973
69,82.57,0.4857548324367668,85.95,0.060218911325318265
70,82.868,0.5725370140015325,83.48,0.059156154544092815
71,83.15,0.5433759044242811,84.4,0.05808909982763826
72,82.786,0.46578447124626066,87.34,0.057018248055667235
73,83.268,0.4691940229150313,87.2,0.05594410189024534
74,83.156,0.4293130396664897,88.06,0.054867165539839495
75,83.412,0.555478835030447,83.71,0.053787944522640546
76,83.642,0.4845684578147116,85.87,0.052706945429270895
77,83.844,0.5199297885351544,85.13,0.05162467568498904
78,84.104,0.5809484271309043,83.55,0.05054164331150201
79,84.204,0.5308371804937532,84.71,0.049458356688498024
80,84.052,0.4501838280430323,87.0,0.048375324315010994
81,84.452,0.4782318669029429,86.57,0.04729305457072914
82,84.44,0.4520809348625473,87.43,0.04621205547735951
83,84.254,0.3954071715662751,89.43,0.045132834460160524
84,84.616,0.48387789462186115,86.32,0.044055898109754695
85,84.706,0.42463015114204794,88.24,0.0429817519443328
86,84.886,0.45404312901104554,87.31,0.04191090017236178
87,85.24,0.4428000397320035,87.71,0.04084384545590721
88,85.634,0.4191845687507074,88.52,0.039781088674681775
89,85.504,0.4399963183493554,87.78,0.038723128690930295
90,85.66,0.4599053840848464,87.07,0.03767046211526192
91,85.334,0.4833887566494036,86.35,0.03662358307353897
92,85.978,0.4171940197673025,88.92,0.035582982974932474
93,86.22,0.4230969284154192,88.22,0.034549150281252654
