epoch,train_acc,test_loss,test_acc,lr
1,13.824,2.244593547869332,17.35,0.0001
2,30.586,1.6497854975205433,41.1,0.00208
3,44.236,1.4327266699151149,49.71,0.004059999999999999
4,53.636,1.2579356160344957,57.38,0.0060399999999999985
5,61.38,1.085069273846059,64.05,0.008019999999999998
6,66.248,1.0287143112737922,66.53,0.01
7,71.006,0.8877791490735887,71.41,0.00999882649009242
8,74.114,0.8811516829683811,72.5,0.009995306511219883
9,76.596,0.8365517545349991,73.51,0.009989441715674422
10,78.636,0.7420484453816957,77.25,0.009981234856414308
11,80.33,0.7478213559223127,77.6,0.0099706897857718
12,81.544,0.6937016237385666,78.46,0.00995781145364485
13,82.498,0.6833720656135415,79.5,0.009942605905173594
14,83.604,0.6553471974934204,80.49,0.009925080277902745
15,84.164,0.6100203402434723,81.73,0.009905242798431198
16,85.002,0.6041590462002573,82.7,0.009883102778550435
17,85.836,0.5777498136592817,83.09,0.00985867061087353
18,86.526,0.5688834318631812,83.8,0.009831957763956815
19,86.752,0.5281200412707993,85.04,0.009802976776916496
20,87.476,0.5740463628044611,83.26,0.009771741253542745
21,87.952,0.5254974146432514,84.55,0.009738265855914016
22,88.182,0.5290882904318315,85.2,0.009702566297514623
23,88.928,0.500179793638519,86.14,0.009664659335858757
24,88.95,0.5301249117790898,84.83,0.009624562764624447
25,89.424,0.4893207229390929,86.24,0.009582295405301132
26,89.896,0.5640835433821135,84.36,0.009537877098354788
27,90.004,0.504216346371023,86.06,0.009491328693914725
28,90.446,0.4855717824229711,86.31,0.009442672041986459
29,90.846,0.48237471980384633,86.69,0.009391929982195235
30,91.034,0.47126649716232394,86.86,0.00933912633306501
31,91.342,0.4706391137612017,87.07,0.00928428588083795
32,91.364,0.47886108484449263,86.72,0.009227434367839663
33,91.758,0.45831977887244163,87.52,0.009168598480395656
34,92.016,0.5132188355620904,85.82,0.009107805836304661
35,92.04,0.5231971925572504,85.44,0.00904508497187474
36,92.646,0.45716801248019256,87.6,0.008980465328528222
37,92.584,0.46505098308943493,87.38,0.008913977238981782
38,92.716,0.48818778256072276,86.81,0.008845651913008148
39,92.934,0.6285189088386826,82.14,0.008775521422786106
40,93.148,0.45344173153744466,87.74,0.008703618687845699
41,93.202,0.4529641364948659,87.72,0.008629977459615657
42,93.442,0.4547739938090119,87.97,0.008554632305580356
43,93.468,0.42284466665756854,88.55,0.008477618593053694
44,93.942,0.4923259808292872,86.77,0.00839897247257754
45,93.962,0.4888826435125327,86.81,0.008318730860952524
46,93.944,0.46808699905117856,87.6,0.00823693142390914
47,94.168,0.43351858835431595,88.48,0.00815361255842731
48,94.442,0.4919512822658201,87.01,0.008068813374712689
49,94.604,0.4352542929634263,88.52,0.007982573677838172
50,94.822,0.4395809473493431,88.28,0.007894933949059244
51,94.802,0.4194165973723689,89.03,0.0078059353268119126
52,94.866,0.4277884918677656,89.04,0.007715619587402165
53,95.022,0.4088819345718698,88.97,0.0076240291253960035
54,95.078,0.44645795301546026,87.97,0.00753120693371927
55,95.334,0.4072228739910488,89.57,0.007437196583476596
56,95.416,0.39952255030976064,89.74,0.007342042203498951
57,95.654,0.42480999382236334,88.99,0.007245788459629396
58,95.738,0.4215788035830365,89.52,0.007148480533756758
59,95.494,0.4057365672875054,89.76,0.00705016410260708
60,95.854,0.38602616534202916,90.32,0.0069508853163027726
61,96.126,0.4090555364949794,89.69,0.006850690776699571
62,96.086,0.40735892951488495,89.76,0.006749627515511442
63,96.196,0.40851417844054067,89.74,0.006647742972233701
64,96.312,0.4136417962705033,89.54,0.0065450849718747366
65,96.334,0.41768696621248996,89.74,0.006441701702506753
66,96.53,0.38654643014261997,90.53,0.006337641692646104
67,96.67,0.4525108261953426,88.42,0.00623295378847381
68,96.654,0.383645968912523,90.4,0.006127687130906971
69,96.834,0.3913619171215009,90.34,0.006021891132531824
70,96.654,0.39855077825015106,90.09,0.005915615454409278
71,96.748,0.40641776802419105,89.91,0.005808909982763824
72,97.032,0.3830217956742154,90.61,0.005701824805566721
73,97.144,0.394367115784295,90.42,0.0055944101890245315
74,97.246,0.3947815808314311,90.28,0.005486716553983947
75,97.38,0.3864777442775195,90.3,0.005378794452264053
76,97.484,0.4062545944618273,89.8,0.005270694542927088
77,97.43,0.3862079283859156,90.5,0.005162467568498903
78,97.622,0.4117092605255827,89.69,0.005054164331150199
79,97.552,0.37944088631038425,90.74,0.004945835668849801
80,97.736,0.3999373156435882,90.15,0.004837532431501098
81,97.906,0.3763743263633945,90.97,0.004729305457072913
82,98.034,0.38384488243845444,90.43,0.004621205547735949
83,98.028,0.3863951096051856,90.5,0.00451328344601605
84,97.97,0.37793618421765823,90.77,0.004405589810975468
85,98.136,0.3750502621825737,90.51,0.004298175194433278
86,98.296,0.38668106534058533,90.76,0.004191090017236176
87,98.268,0.3773438740002958,90.75,0.004084384545590719
88,98.23,0.3839650606807274,90.8,0.003978108867468176
89,98.458,0.38965303101871585,90.44,0.0038723128690930273
90,98.59,0.3723631403114222,91.15,0.00376704621152619
