epoch,train_acc,test_loss,test_acc,lr
1,21.02,1.9854830458194395,26.82,0.0001
2,44.3,1.349426243878618,53.93,0.00208
3,59.52,1.1971692925767055,60.08,0.004059999999999999
4,68.36,0.9677660970748225,69.07,0.0060399999999999985
5,74.532,0.8476465442512608,74.04,0.008019999999999998
6,78.134,0.8407980943027931,74.27,0.01
7,81.392,0.6965473799765864,79.26,0.00999882649009242
8,83.6,0.7537760591205163,77.32,0.009995306511219883
9,85.118,0.591028860098199,83.17,0.009989441715674422
10,86.542,0.6056865664977061,82.57,0.009981234856414308
11,87.478,0.5465322585800027,84.31,0.0099706897857718
12,88.556,0.5373452679265903,85.14,0.00995781145364485
13,89.388,0.5146849351593211,85.33,0.009942605905173594
14,90.218,0.46393908616862717,87.26,0.009925080277902745
15,90.614,0.5491866729682005,84.53,0.009905242798431198
16,91.328,0.5111053121995323,85.81,0.009883102778550435
17,91.84,0.4562419552969027,87.83,0.00985867061087353
18,92.188,0.4727810602399367,86.9,0.009831957763956815
19,92.562,0.4644953065280673,87.5,0.009802976776916496
20,93.094,0.4682679014115394,87.28,0.009771741253542745
21,93.234,0.4166619732410093,88.74,0.009738265855914016
22,93.91,0.4201440469750875,88.78,0.009702566297514623
23,94.132,0.42945848160152195,88.9,0.009664659335858757
24,94.174,0.4611077821707424,87.58,0.009624562764624447
25,94.652,0.4262389303008212,88.64,0.009582295405301132
26,94.818,0.40993109420885016,89.5,0.009537877098354788
27,95.012,0.37449659991867934,90.41,0.009491328693914725
28,95.352,0.42723712721202944,88.45,0.009442672041986459
29,95.428,0.40226880300648604,89.63,0.009391929982195235
30,95.642,0.39890196843992304,89.88,0.00933912633306501
31,96.068,0.36908752763573127,90.6,0.00928428588083795
32,95.786,0.3707104344156724,90.88,0.009227434367839663
33,96.124,0.39830210446556913,89.57,0.009168598480395656
34,96.522,0.4129172831396513,89.41,0.009107805836304661
35,96.37,0.3924226900444755,90.16,0.00904508497187474
36,96.554,0.37763144622875167,90.51,0.008980465328528222
37,96.75,0.359516975057276,91.14,0.008913977238981782
